Target_ID,RA (deg),Dec (deg),Peak_Time_MJD,Redshift,Peak_Magnitude,Peak_Real_Time (UTC),MAST_Visible_Now,MAST_Visible_Future,SOXS_Visible_Now,SOXS_Visible_Future,WILDS_Visible_Now,WILDS_Visible_Future,MAST_Obs_Windows_48h,SOXS_Obs_Windows_48h,WILDS_Obs_Windows_48h
ULTRASAT_SN_127,236.8767,54.559753,59257.867,0.12555,20.391453,2021-02-12 20:48:28.800,False,False,False,False,False,False,"[(np.float64(2.0), np.float64(6.0)), (np.float64(26.0), np.float64(30.0))]",[],"[(np.float64(11.25), np.float64(16.0)), (np.float64(35.25), np.float64(39.75))]"
ULTRASAT_SN_585,258.01663,65.580246,59241.54,0.11865,19.560513,2021-01-27 12:57:36.000,False,False,False,False,True,True,"[(np.float64(12.0), np.float64(14.0)), (np.float64(36.0), np.float64(38.0))]",[],"[(np.float64(0.0), np.float64(0.0)), (np.float64(21.0), np.float64(24.0)), (np.float64(45.0), np.float64(48.0))]"
ULTRASAT_SN_693,59.14863,-40.531837,59123.324,0.10845,19.041054,2020-10-01 07:46:33.600,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(1.0)), (np.float64(19.25), np.float64(25.0)), (np.float64(43.25), np.float64(48.0))]",[]
ULTRASAT_SN_694,47.3382,-49.378807,59147.066,0.07725,18.203249,2020-10-25 01:35:02.400,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(6.75)), (np.float64(23.0), np.float64(30.75)), (np.float64(47.0), np.float64(48.0))]",[]
ULTRASAT_SN_699,65.51503,-42.865475,59199.383,0.12555,19.605707,2020-12-16 09:11:31.200,False,False,False,False,False,False,[],"[(np.float64(16.25), np.float64(22.75)), (np.float64(40.25), np.float64(46.75))]",[]
ULTRASAT_SN_1016,246.11238,53.885464,59195.266,0.12115,19.131437,2020-12-12 06:23:02.400,False,False,False,False,False,False,[],[],"[(np.float64(6.5), np.float64(6.5)), (np.float64(30.5), np.float64(30.5))]"
ULTRASAT_SN_1051,245.05638,53.685047,59194.758,0.04265,17.253414,2020-12-11 18:11:31.200,False,False,False,False,False,False,[],[],"[(np.float64(18.5), np.float64(18.5)), (np.float64(42.5), np.float64(42.5))]"
ULTRASAT_SN_1615,258.58615,61.188137,59282.895,0.11855,20.1393,2021-03-09 21:28:48.000,False,False,False,False,False,False,"[(np.float64(1.0), np.float64(5.0)), (np.float64(24.75), np.float64(29.0))]",[],"[(np.float64(10.25), np.float64(14.75)), (np.float64(34.0), np.float64(38.75))]"
ULTRASAT_SN_1750,252.69974,56.481464,59234.305,0.05355,17.799086,2021-01-20 07:19:12.000,False,False,False,False,False,False,"[(np.float64(18.0), np.float64(19.75)), (np.float64(42.0), np.float64(43.75))]",[],"[(np.float64(3.25), np.float64(5.5)), (np.float64(27.25), np.float64(29.5))]"
ULTRASAT_SN_2470,241.95862,53.228317,59342.176,0.11795,19.578966,2021-05-08 04:13:26.400,False,False,False,False,True,True,"[(np.float64(13.75), np.float64(21.0)), (np.float64(37.75), np.float64(45.0))]",[],"[(np.float64(0.0), np.float64(6.5)), (np.float64(23.75), np.float64(30.5)), (np.float64(47.75), np.float64(48.0))]"
ULTRASAT_SN_2476,239.89333,56.02446,59354.258,0.10785,19.230488,2021-05-20 06:11:31.200,False,False,False,False,True,True,"[(np.float64(12.0), np.float64(18.75)), (np.float64(36.0), np.float64(42.75))]",[],"[(np.float64(0.0), np.float64(4.25)), (np.float64(22.0), np.float64(28.25)), (np.float64(46.0), np.float64(48.0))]"
ULTRASAT_SN_2894,240.34256,61.51245,59306.33,0.12285,19.354904,2021-04-02 07:55:12.000,False,False,False,False,True,True,"[(np.float64(11.75), np.float64(18.0)), (np.float64(35.75), np.float64(42.0))]",[],"[(np.float64(0.0), np.float64(3.75)), (np.float64(21.0), np.float64(27.75)), (np.float64(44.75), np.float64(48.0))]"
ULTRASAT_SN_3025,50.259686,-43.37322,59115.414,0.07365,18.518545,2020-09-23 09:56:09.600,False,False,False,False,False,False,[],"[(np.float64(17.0), np.float64(23.0)), (np.float64(41.0), np.float64(47.0))]",[]
ULTRASAT_SN_3200,62.316254,-53.09154,59130.617,0.11565,19.428259,2020-10-08 14:48:28.800,False,False,False,False,False,False,[],"[(np.float64(11.75), np.float64(18.0)), (np.float64(35.75), np.float64(42.0))]",[]
ULTRASAT_SN_3325,59.38319,-46.16587,59077.043,0.10625,19.755919,2020-08-16 01:01:55.200,False,False,False,False,False,False,[],"[(np.float64(5.0), np.float64(8.75)), (np.float64(29.0), np.float64(32.75))]",[]
ULTRASAT_SN_3382,47.863506,-46.795776,59141.88,0.09785,18.748865,2020-10-19 21:07:12.000,False,False,False,False,False,False,[],"[(np.float64(4.0), np.float64(11.25)), (np.float64(27.75), np.float64(35.25))]",[]
ULTRASAT_SN_3481,61.692997,-47.804096,59015.62,0.12595,19.509443,2020-06-15 14:52:48.000,False,False,False,False,False,False,[],"[(np.float64(19.25), np.float64(19.25)), (np.float64(43.25), np.float64(43.25))]",[]
ULTRASAT_SN_3616,55.38784,-41.16396,59038.582,0.07415,19.247208,2020-07-08 13:58:04.800,False,False,False,False,False,False,[],"[(np.float64(18.5), np.float64(20.0)), (np.float64(42.5), np.float64(44.0))]",[]
ULTRASAT_SN_3821,47.53476,-43.85593,59142.84,0.11405,19.490408,2020-10-20 20:09:36.000,False,False,False,False,False,False,[],"[(np.float64(4.75), np.float64(12.25)), (np.float64(28.75), np.float64(36.25))]",[]
ULTRASAT_SN_3872,255.94585,52.785538,59249.24,0.11815,19.20219,2021-02-04 05:45:36.000,False,False,False,False,False,False,"[(np.float64(18.75), np.float64(21.25)), (np.float64(42.75), np.float64(45.25))]",[],"[(np.float64(4.25), np.float64(7.0)), (np.float64(28.25), np.float64(31.0))]"
ULTRASAT_SN_4203,247.36018,56.048874,59345.105,0.10305,18.920383,2021-05-11 02:31:12.000,False,False,False,False,False,False,"[(np.float64(15.5), np.float64(22.75)), (np.float64(39.5), np.float64(46.75))]",[],"[(np.float64(1.5), np.float64(8.25)), (np.float64(25.5), np.float64(32.25))]"
ULTRASAT_SN_4293,237.84697,55.976097,59286.92,0.11575,19.51645,2021-03-13 22:04:48.000,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(4.25)), (np.float64(22.75), np.float64(28.25)), (np.float64(46.75), np.float64(48.0))]",[],"[(np.float64(8.0), np.float64(14.0)), (np.float64(32.0), np.float64(38.0))]"
ULTRASAT_SN_4296,62.69862,-52.64955,59177.48,0.10075,19.99359,2020-11-24 11:31:12.000,False,False,False,False,False,False,[],"[(np.float64(13.5), np.float64(20.5)), (np.float64(37.5), np.float64(44.5))]",[]
ULTRASAT_SN_4443,54.296055,-47.067074,59153.406,0.02215,15.636354,2020-10-31 09:44:38.400,False,False,False,False,False,False,[],"[(np.float64(15.0), np.float64(22.5)), (np.float64(39.0), np.float64(46.5))]",[]
ULTRASAT_SN_4729,66.4101,-49.26971,59175.906,0.06395,17.762304,2020-11-22 21:44:38.400,False,False,False,False,False,False,[],"[(np.float64(3.25), np.float64(10.25)), (np.float64(27.25), np.float64(34.25))]",[]
ULTRASAT_SN_4782,49.64736,-40.156853,59075.8,0.11285,19.734184,2020-08-14 19:12:00.000,False,False,False,False,False,False,[],"[(np.float64(10.5), np.float64(14.5)), (np.float64(34.25), np.float64(38.5))]",[]
ULTRASAT_SN_4990,235.23857,65.57179,59173.516,0.08435,18.583471,2020-11-20 12:23:02.400,False,False,False,False,False,False,[],[],[]
ULTRASAT_SN_5028,59.300716,-40.490383,59229.777,0.08445,18.963634,2021-01-15 18:38:52.800,False,False,False,False,False,False,[],"[(np.float64(6.75), np.float64(11.0)), (np.float64(30.75), np.float64(35.0))]",[]
ULTRASAT_SN_5304,250.71107,64.242714,59337.188,0.11415,20.744051,2021-05-03 04:30:43.200,False,False,False,False,True,True,"[(np.float64(13.75), np.float64(20.75)), (np.float64(37.75), np.float64(44.75))]",[],"[(np.float64(0.0), np.float64(6.25)), (np.float64(23.5), np.float64(30.25)), (np.float64(47.5), np.float64(48.0))]"
ULTRASAT_SN_5514,64.99337,-42.84582,59157.12,0.07045,18.526356,2020-11-04 02:52:48.000,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(5.25)), (np.float64(22.25), np.float64(29.25)), (np.float64(46.25), np.float64(48.0))]",[]
ULTRASAT_SN_5680,54.794456,-43.83961,59132.887,0.11255,19.305393,2020-10-10 21:17:16.800,False,False,False,False,False,False,[],"[(np.float64(4.75), np.float64(11.5)), (np.float64(28.75), np.float64(35.25))]",[]
ULTRASAT_SN_5730,48.352062,-53.325928,59103.844,0.09855,18.61381,2020-09-11 20:15:21.600,False,False,False,False,False,False,[],"[(np.float64(7.25), np.float64(13.0)), (np.float64(31.0), np.float64(37.0))]",[]
ULTRASAT_SN_6094,245.98839,64.285736,59236.97,0.03855,17.174805,2021-01-22 23:16:48.000,False,False,False,False,False,False,"[(np.float64(1.25), np.float64(3.75)), (np.float64(25.25), np.float64(27.75))]",[],"[(np.float64(10.25), np.float64(13.75)), (np.float64(34.25), np.float64(37.75))]"
ULTRASAT_SN_6246,65.71602,-45.27318,59075.992,0.11645,19.442738,2020-08-14 23:48:28.800,False,False,False,False,False,False,[],"[(np.float64(6.75), np.float64(10.0)), (np.float64(30.75), np.float64(34.0))]",[]
ULTRASAT_SN_6293,245.18303,63.882683,59364.883,0.11745,19.147524,2021-05-30 21:11:31.200,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(3.75)), (np.float64(21.0), np.float64(27.75)), (np.float64(45.0), np.float64(48.0))]",[],"[(np.float64(7.25), np.float64(13.25)), (np.float64(31.25), np.float64(37.25))]"
ULTRASAT_SN_6294,59.55745,-41.072456,59109.18,0.12175,21.112848,2020-09-17 04:19:12.000,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(4.75)), (np.float64(23.75), np.float64(28.75)), (np.float64(47.75), np.float64(48.0))]",[]
ULTRASAT_SN_6479,254.96313,54.46883,59204.69,0.11235,20.113272,2020-12-21 16:33:36.000,False,False,False,False,False,False,[],[],"[(np.float64(20.25), np.float64(20.25)), (np.float64(44.25), np.float64(44.25))]"
ULTRASAT_SN_6509,61.86978,-42.411774,59110.508,0.09085,19.275602,2020-09-18 12:11:31.200,False,False,False,False,False,False,[],"[(np.float64(16.0), np.float64(21.0)), (np.float64(39.75), np.float64(45.0))]",[]
ULTRASAT_SN_6887,53.046486,-39.611305,59029.707,0.10235,18.552624,2020-06-29 16:58:04.800,False,False,False,False,False,False,[],"[(np.float64(16.0), np.float64(17.25)), (np.float64(39.75), np.float64(41.25))]",[]
ULTRASAT_SN_6968,236.18748,55.111965,59316.42,0.09565,19.63674,2021-04-12 10:04:48.000,False,False,False,False,True,True,"[(np.float64(8.75), np.float64(15.75)), (np.float64(32.75), np.float64(39.75))]",[],"[(np.float64(0.0), np.float64(1.25)), (np.float64(18.0), np.float64(25.25)), (np.float64(42.0), np.float64(48.0))]"
ULTRASAT_SN_6997,256.40393,59.968777,59211.2,0.07935,20.053156,2020-12-28 04:48:00.000,False,False,False,False,False,False,"[(np.float64(22.25), np.float64(22.25)), (np.float64(46.0), np.float64(46.25))]",[],"[(np.float64(7.5), np.float64(8.25)), (np.float64(31.25), np.float64(32.25))]"
ULTRASAT_SN_7078,261.6447,60.921787,59196.477,0.07875,18.462162,2020-12-13 11:26:52.800,False,False,False,False,False,False,[],[],[]
ULTRASAT_SN_7119,251.41908,56.090942,59222.242,0.11755,20.237076,2021-01-08 05:48:28.800,False,False,False,False,False,False,"[(np.float64(20.25), np.float64(21.25)), (np.float64(44.0), np.float64(45.25))]",[],"[(np.float64(5.5), np.float64(7.25)), (np.float64(29.5), np.float64(31.25))]"
ULTRASAT_SN_7257,48.09005,-46.21437,59146.008,0.12085,19.800537,2020-10-24 00:11:31.200,False,False,False,False,False,False,[],"[(np.float64(0.5), np.float64(8.25)), (np.float64(24.5), np.float64(32.25))]",[]
ULTRASAT_SN_7436,251.52313,61.71167,59301.96,0.11675,19.36093,2021-03-28 23:02:24.000,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(3.0)), (np.float64(21.5), np.float64(27.0)), (np.float64(45.5), np.float64(48.0))]",[],"[(np.float64(6.75), np.float64(12.75)), (np.float64(30.75), np.float64(36.75))]"
ULTRASAT_SN_7745,57.921997,-41.558136,59136.15,0.08645,18.416151,2020-10-14 03:36:00.000,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(5.0)), (np.float64(22.5), np.float64(29.0)), (np.float64(46.5), np.float64(48.0))]",[]
ULTRASAT_SN_7909,250.7593,62.035908,59172.918,0.08705,19.340244,2020-11-19 22:01:55.200,False,False,False,False,False,False,[],[],"[(np.float64(4.0), np.float64(4.0)), (np.float64(27.75), np.float64(28.0))]"
ULTRASAT_SN_7987,49.404297,-48.18521,59005.805,0.03225,17.118704,2020-06-05 19:19:12.000,False,False,False,False,False,False,[],"[(np.float64(14.75), np.float64(14.75)), (np.float64(38.75), np.float64(38.75))]",[]
ULTRASAT_SN_8094,252.6019,57.775436,59251.91,0.12385,19.719732,2021-02-06 21:50:24.000,False,False,False,False,False,False,"[(np.float64(2.25), np.float64(5.0)), (np.float64(26.25), np.float64(29.0))]",[],"[(np.float64(11.5), np.float64(15.0)), (np.float64(35.5), np.float64(39.0))]"
ULTRASAT_SN_8114,259.53543,61.61629,59308.523,0.11645,20.076757,2021-04-04 12:33:07.200,False,False,False,False,False,False,"[(np.float64(8.25), np.float64(13.25)), (np.float64(32.25), np.float64(37.25))]",[],"[(np.float64(17.5), np.float64(23.0)), (np.float64(41.25), np.float64(47.0))]"
ULTRASAT_SN_8233,241.6759,55.897125,59222.465,0.11655,19.544569,2021-01-08 11:09:36.000,False,False,False,False,True,True,"[(np.float64(14.25), np.float64(16.0)), (np.float64(38.0), np.float64(40.0))]",[],"[(np.float64(0.0), np.float64(1.75)), (np.float64(23.5), np.float64(25.75)), (np.float64(47.5), np.float64(48.0))]"
ULTRASAT_SN_8238,256.8112,65.688484,59344.926,0.07475,18.143536,2021-05-10 22:13:26.400,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(3.0)), (np.float64(19.75), np.float64(27.0)), (np.float64(43.75), np.float64(48.0))]",[],"[(np.float64(5.75), np.float64(12.5)), (np.float64(29.75), np.float64(36.5))]"
ULTRASAT_SN_8428,251.39397,53.738403,59263.145,0.09465,19.211283,2021-02-18 03:28:48.000,False,False,False,False,False,False,"[(np.float64(19.75), np.float64(23.25)), (np.float64(43.75), np.float64(47.25))]",[],"[(np.float64(5.25), np.float64(9.25)), (np.float64(29.25), np.float64(33.0))]"
ULTRASAT_SN_8654,248.00348,60.915108,59305.598,0.10745,19.699823,2021-04-01 14:21:07.200,False,False,False,False,False,False,"[(np.float64(5.75), np.float64(11.75)), (np.float64(29.75), np.float64(35.5))]",[],"[(np.float64(15.0), np.float64(21.25)), (np.float64(39.0), np.float64(45.25))]"
ULTRASAT_SN_9101,259.82935,57.656803,59330.156,0.11865,19.993458,2021-04-26 03:44:38.400,False,False,False,False,False,False,"[(np.float64(15.75), np.float64(21.75)), (np.float64(39.5), np.float64(45.75))]",[],"[(np.float64(1.0), np.float64(7.25)), (np.float64(25.0), np.float64(31.25))]"
ULTRASAT_SN_9377,263.26093,66.17676,59334.258,0.08765,19.930738,2021-04-30 06:11:31.200,False,False,False,False,True,True,"[(np.float64(13.0), np.float64(19.25)), (np.float64(37.0), np.float64(43.25))]",[],"[(np.float64(0.0), np.float64(4.75)), (np.float64(22.0), np.float64(28.75)), (np.float64(46.0), np.float64(48.0))]"
ULTRASAT_SN_9440,263.5446,62.27608,59267.01,0.12845,20.018875,2021-02-22 00:14:24.000,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(2.5)), (np.float64(23.5), np.float64(26.5)), (np.float64(47.5), np.float64(48.0))]",[],"[(np.float64(8.75), np.float64(12.25)), (np.float64(32.75), np.float64(36.25))]"
ULTRASAT_SN_9567,247.07018,60.711697,59299.203,0.09135,18.99171,2021-03-26 04:52:19.200,False,False,False,False,False,False,"[(np.float64(15.75), np.float64(21.25)), (np.float64(39.5), np.float64(45.25))]",[],"[(np.float64(1.0), np.float64(7.0)), (np.float64(25.0), np.float64(31.0))]"
ULTRASAT_SN_9649,51.934174,-40.19874,59015.2,0.10335,19.12388,2020-06-15 04:48:00.000,False,False,False,False,False,False,[],"[(np.float64(5.0), np.float64(5.25)), (np.float64(29.0), np.float64(29.25))]",[]
ULTRASAT_SN_9693,258.79437,52.490604,59362.812,0.10895,20.293497,2021-05-28 19:29:16.800,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(5.5)), (np.float64(22.75), np.float64(29.5)), (np.float64(46.75), np.float64(48.0))]",[],"[(np.float64(9.0), np.float64(15.0)), (np.float64(33.0), np.float64(39.0))]"
ULTRASAT_SN_9859,234.68105,56.82156,59224.438,0.11995,19.967905,2021-01-10 10:30:43.200,False,False,False,False,True,True,"[(np.float64(14.25), np.float64(16.5)), (np.float64(38.25), np.float64(40.5))]",[],"[(np.float64(0.0), np.float64(2.5)), (np.float64(23.5), np.float64(26.5)), (np.float64(47.5), np.float64(48.0))]"
ULTRASAT_SN_10016,264.3982,64.96197,59285.504,0.05105,18.032518,2021-03-12 12:05:45.600,False,False,False,False,True,True,"[(np.float64(10.5), np.float64(14.25)), (np.float64(34.25), np.float64(38.25))]",[],"[(np.float64(0.0), np.float64(0.0)), (np.float64(19.5), np.float64(24.0)), (np.float64(43.5), np.float64(48.0))]"
ULTRASAT_SN_10181,50.797478,-49.60493,59007.367,0.09845,18.976114,2020-06-07 08:48:28.800,False,False,False,False,False,False,[],"[(np.float64(1.25), np.float64(1.25)), (np.float64(25.25), np.float64(25.25))]",[]
ULTRASAT_SN_10278,248.75658,60.539192,59203.008,0.12825,19.785526,2020-12-20 00:11:31.200,False,False,False,False,False,False,"[(np.float64(2.75), np.float64(2.75)), (np.float64(26.75), np.float64(26.75))]",[],"[(np.float64(12.0), np.float64(12.75)), (np.float64(36.0), np.float64(36.75))]"
ULTRASAT_SN_10321,249.89957,59.241352,59312.844,0.11545,19.866419,2021-04-08 20:15:21.600,True,True,False,False,False,False,"[(np.float64(0.0), np.float64(5.5)), (np.float64(23.5), np.float64(29.5)), (np.float64(47.5), np.float64(48.0))]",[],"[(np.float64(9.0), np.float64(15.25)), (np.float64(32.75), np.float64(39.25))]"
ULTRASAT_SN_10573,258.78345,56.37957,59183.863,0.10895,19.21615,2020-11-30 20:42:43.200,False,False,False,False,False,False,[],[],[]
ULTRASAT_SN_10639,59.51999,-42.60581,59104.703,0.10965,19.149714,2020-09-12 16:52:19.200,False,False,False,False,False,False,[],"[(np.float64(11.5), np.float64(16.5)), (np.float64(35.5), np.float64(40.5))]",[]
ULTRASAT_SN_10660,243.33707,65.717094,59287.83,0.12465,19.972755,2021-03-14 19:55:12.000,False,False,False,False,False,False,"[(np.float64(1.0), np.float64(6.5)), (np.float64(25.0), np.float64(30.5))]",[],"[(np.float64(10.25), np.float64(16.25)), (np.float64(34.0), np.float64(40.25))]"
ULTRASAT_SN_10739,51.264904,-49.379562,59167.953,0.03315,16.376942,2020-11-14 22:52:19.200,False,False,False,False,False,False,[],"[(np.float64(2.0), np.float64(9.25)), (np.float64(26.0), np.float64(33.25))]",[]
ULTRASAT_SN_10762,60.466236,-46.651237,59102.273,0.10465,19.308558,2020-09-10 06:33:07.200,False,False,True,True,False,False,[],"[(np.float64(0.0), np.float64(2.75)), (np.float64(22.0), np.float64(26.75)), (np.float64(45.75), np.float64(48.0))]",[]
ULTRASAT_SN_10942,60.89868,-47.92989,59052.043,0.12015,19.275528,2020-07-22 01:01:55.200,False,False,False,False,False,False,[],"[(np.float64(6.75), np.float64(9.0)), (np.float64(30.75), np.float64(33.0))]",[]
ULTRASAT_SN_11130,50.379517,-44.51783,59022.88,0.12365,20.226543,2020-06-22 21:07:12.000,False,False,False,False,False,False,[],"[(np.float64(12.0), np.float64(13.0)), (np.float64(35.75), np.float64(37.0))]",[]
ULTRASAT_SN_11308,242.14848,61.416252,59364.465,0.10715,19.250841,2021-05-30 11:09:36.000,False,False,False,False,False,False,"[(np.float64(7.25), np.float64(13.75)), (np.float64(31.25), np.float64(37.75))]",[],"[(np.float64(17.25), np.float64(23.25)), (np.float64(41.25), np.float64(47.25))]"
